rag,temp,n,abstain_rate,answer_rate,acc_given_answer,error_given_answer,answered,correct_ans,incorrect_ans
off,0.2,500,0.052000,0.948000,0.405063,0.594937,474,192,282
off,0.4,500,0.062000,0.938000,0.402985,0.597015,469,189,280
off,0.6,500,0.044000,0.956000,0.414226,0.585774,478,198,280
off,0.8,500,0.058000,0.942000,0.399151,0.600849,471,188,283
off,1.0,500,0.040000,0.960000,0.381250,0.618750,480,183,297
on,0.2,500,0.134000,0.866000,0.427252,0.572748,433,185,248
on,0.4,500,0.128000,0.872000,0.401376,0.598624,436,175,261
on,0.6,500,0.138000,0.862000,0.396752,0.603248,431,171,260
on,0.8,500,0.148000,0.852000,0.424883,0.575117,426,181,245
on,1.0,500,0.144000,0.856000,0.413551,0.586449,428,177,251
